BENTYL 10MG CAP C30            ;SANOFI AVE;$206.02;$143.77;11425;25;DICICLOVERINA
BLADURIL 200MG GRAG C20        ;SANOFI AVE;$656.67;$458.28;11429;25;FLAVOXATO
CALCIGENOL DOB 18MG SUSP 340ML ;SANOFI AVE;$180.78;$113.32;11430;30;FOSFATO DE CALCIO-FOSFORO
CALCORT 30MG TAB C10           ;SANOFI AVE;$841.22;$587.07;11432;25;DEFLAZACORT
CALCORT 6MG TAB C20            ;SANOFI AVE;$390.29;$272.37;11433;25;DEFLAZACORT
CERVILAN COMPR. 80 MG./0.8 MG. C/30;SANFER    ;$624.00;$436.80;11440;25;LOMIFILINA-DIHIDROERGOCRISTINA
DACTIL OB 100MG GRAG C30       ;SANOFI AVE;$531.50;$370.92;11446;25;PIPERIDOLATO
DAONIL 5MG TAB C50             ;SANOFI AVE;$117.68;$82.12;11447;15;GLIBENCLAMIDA
LASILACTON 50/20MG CAP C16     ;SANOFI AVE;$370.57;$258.61;11460;25;FUROSEMIDA-ESPIRONOLACTONA
LASIX 20MG TAB C36             ;SANOFI AVE;$131.36;$91.67;11462;25;FUROSEMIDA
LASIX 40MG TAB C24             ;SANOFI AVE;$179.22;$125.08;11463;25;FUROSEMIDA
NEOMELUBRINA 2.5G AMP 5ML C5   ;SANOFI AVE;$137.05;$95.64;11478;20;METAMIZOL
NEOMELUBRINA 500MG GTS 15ML    ;SANOFI AVE;$88.05;$61.45;11479;20;METAMIZOL SODICO
NEOMELUBRINA 5.25G JBE 100ML   ;SANOFI AVE;$118.59;$82.77;11480;35;METAMIZOL SODICO
NEOMELUBRINA INF 300MG SUP C5  ;SANOFI AVE;$74.88;$52.26;11481;20;METAMIZOL SODICO
NEOMELUBRINA 500MG TAB C10     ;SANOFI AVE;$78.72;$54.94;11482;35;METAMIZOL SODICO
NEUROFLAX 20MG SOL INY 4ML C1  ;SANFER    ;$359.00;$251.30;11483;25;COBAMAMIDA-TIOCOLCHICOSIDO
OMIFIN 50MG TAB C30            ;SANOFI AVE;$794.52;$554.47;11486;30;CLOMIFENO
PLASIL COMPR. 10 MG. C/20;SANFER    ;$161.00;$107.10;11489;25;METOCLOPRAMIDA
PLASIL PEDIATRICO SOL. GOTAS 4 MG./1 ML. C/20 ML.;SANFER    ;$166.00;$100.02;11490;25;METOCLOPRAMIDA
PLASIL ENZIMATICO GRAGEAS 6.36 MG/35,000 U/57.90 MG/210 U/20 C/30;SANFER    ;$198.00;$138.60;11491;30;METOCLOPRAMIDA-BROMELINA-DIMETICONA-PANCREATINA--D
RIFOCYNA 1G SPRY 20ML          ;SANOFI AVE;$302.54;$211.13;11499;20;RIFAMICINA
SURGAM 300MG CPR C30           ;SANOFI AVE;$443.93;$309.81;11505;25;ACIDO TIAPROFENICO
TABALON INF SUSP 100ML         ;SANOFI AVE;$115.36;$80.50;11506;25;IBUPROFENO
TABALON 400MG TAB C10          ;SANOFI AVE;$127.86;$89.23;11507;25;IBUPROFENO
TRENTAL 400MG GRAG C30         ;SANOFI AVE;$537.76;$375.29;11519;30;SANDOZSACV
TRITACE 5MG TAB C16            ;SANOFI AVE;$585.17;$408.38;11522;30;RAMIPRIL
A1.RODOGYL 250MG CPR C20          ;SANOFI AVE;$121.29;$84.65;11542;25;ESPIRAMICINA-METRONIDAZOL
SECNIDAL 900MG SOL PVO 30ML    ;SANOFI AVE;$311.88;$217.66;11545;25;SECNIDAZOL
ADECUR 2MG TAB C15             ;ASOFARMA  ;$341.00;$226.05;11555;25;TERAZOSINA
RECOVERON UNG 40G              ;ARMSTRONG ;$283.50;$183.71;11631;25;ACIDO ACEXAMICO
ATEMPERATOR 400MG TAB C10      ;ARMSTRONG ;$200.00;$129.60;11632;25;VALPROATO DE MAGNESIO
NEUGERON 200MG TAB C20         ;ARMSTRONG ;$250.60;$162.39;11644;30;CARBAMAZEPINA
ANGIOTROFIN 60MG CPR C30       ;ARMSTRONG ;$361.90;$234.51;11645;25;DILTIAZEM
ANGIOTROFIN 30MG CPR C30       ;ARMSTRONG ;$220.50;$142.88;11646;25;DILTIAZEM
ATEMPERATOR 500MG TAB C20      ;ARMSTRONG ;$498.20;$322.83;11647;25;VALPROATO DE MAGNESIO
ANGIOTROFIN AP 90MG TAB C20    ;ARMSTRONG ;$380.10;$246.30;11648;25;DILTIAZEM
NEUGERON 100MG TAB MAST C40    ;ARMSTRONG ;$289.40;$187.53;11651;30;CARBAMAZEPINA
JBN.1 NOSOP 80G;ARMSTRONG LAB. DE MEXICO ;$97.50;$68.11;11656;0;NO ESPECIFICADO
ATEMPERATOR S SUSP 100ML       ;ARMSTRONG ;$285.60;$185.07;11661;25;VALPROATO DE MAGNESIO
KAOMYCIN COMP FCO SUSP 180ML            ;ARMSTRONG ;$176.80;$114.57;11663;25;NEOMICINA-CAOLIN-PECTINA
GLIOTEN 2.5MG TAB C10          ;ARMSTRONG ;$93.10;$60.33;11671;25;ENALAPRIL
JBN.1 AVESOP DERMO LIMP 100G    ;ARMSTRONG ;$149.00;$116.64;11675;0;NO ESPECIFICADO
ATEMPERATOR LP 600MG TAB C20   ;ARMSTRONG ;$765.00;$495.72;11702;25;VALPROATO DE MAGNESIO
DONODOL COMP 250MG TAB C10     ;ARMSTRONG ;$326.60;$211.64;11704;25;CLONIXINATO DE LISINA-BUTILHIOSCINA
ISORBID 10MG TAB C40           ;ARMSTRONG ;$279.30;$180.99;11711;30;ISOSORBIDA
RECOVERON C CRA 40G            ;ARMSTRONG ;$283.50;$183.71;11712;25;ACIDO ACEXAMICO
RECOVERON N UNG 40G            ;ARMSTRONG ;$341.30;$221.16;11714;25;ACIDO ACEXAMICO-NEOMICINA
LOGICAL SOB 2G C10             ;ARMSTRONG ;$265.40;$171.98;11715;30;CROSPOVIDONA
RECOVERON NC CRA 40G           ;ARMSTRONG ;$341.30;$221.16;11741;25;ACIDO ACEXAMICO-NEOMICINA
LOGICAL SOB 2G C6              ;ARMSTRONG ;$257.90;$167.12;11751;30;CROSPOVIDONA
IBEROL 500MG SOL 240ML         ;MAYPO     ;$139.40;$111.52;11761;25;NO ESPECIFICADO
A1.PANTOMICINA ES 250MG SUSP120ML ;ARMSTRONG ;$287.00;$185.98;11764;25;ERITROMICINA
A1.PANTOMICINA ES 600MG TAB C12   ;ARMSTRONG ;$203.70;$132.00;11767;25;ERITROMICINA
A1.PANTOMICINA ES 125MG GRAN120ML ;ARMSTRONG ;$186.50;$120.85;11768;25;ERITROMICINA
PEDIAZOLE GRAN 150ML           ;ABBOTT    ;$327.00;$261.60;11770;25;NO ESPECIFICADO
FLUIDASA G GTS 30ML            ;TEOFARMA  ;$190.00;$151.32;11771;30;NO ESPECIFICADO
ATEMPERATOR PED 10G SOL 100ML  ;ARMSTRONG ;$474.20;$307.28;11782;25;VALPROATO DE MAGNESIO
P�AL. AD DIAPRO PREDOBLADO GEL C/10       ;ARTICULOS HIGIENICOS, S.A;$52.50;$43.57;11800;0;NO ESPECIFICADO
BRICANYL EX SOL 200ML          ;ASTRA     ;$160.00;$95.00;11835;25;TERBUTALINA-GUAIFENESINA
SELOPRES ZOK;ASTRA     ;$408.00;$240.00;11841;30;METOPROLOL-HIDROCLOROTIAZIDA
INDERALICI 40MG TAB C/30;ASTRA     ;$239.00;$143.00;11890;30;PROPRANOLOL
MYSOLINE 250MG TAB C50         ;COLUMBIA  ;$374.75;$281.06;11894;20;PRIMIDONA
TENORETIC;ASTRA     ;$373.00;$221.00;11906;30;ATENOLOL-CLORTALIDONA
ZESTRIL 5 MG TAB  28;ASTRA     ;$323.00;$191.00;11915;30;LISINOPRIL
PANCLASA CAP. 80 MG./80 MG. C/20;LOGVALEANT;$214.91;$62.29;11931;30;FLOROGLUCINOL-TRIMETILFLOROGLUCINOL
A1.TETRA ATLANTIS 250MG C12       ;ATLANTIS, S.A.           ;$36.89;$18.84;11933;30;TETRACICLINA
CRA. CONCHA NACAR ANABELLA 50GR;AZTECA    ;$25.50;$16.98;11966;0;NO ESPECIFICADO
CRA. CONCHA NACAR ANABELLA 100G;AZTECA    ;$33.00;$25.01;11967;0;NO ESPECIFICADO
TIRALECHE AVI CRISTAL              ;AVI COM   ;$26.00;$19.55;11986;0;NO ESPECIFICADO
BAYCUTEN CRA 30G               ;BAYER FARM;$191.00;$142.00;12039;20;CLOTRIMAZOL-DEXAMETASONA
A1.BINOTAL TAB. 1 G. C/12;LAKESIDE  ;$165.36;$130.20;12041;20;AMPICILINA
A1.CIPROXINA 250MG CPR C12        ;BAYER FARM;$271.00;$201.48;12043;20;CIPROFLOXACINO
A1.CIPROXINA 500MG CPR C8         ;BAYER FARM;$369.00;$274.34;12044;20;CIPROFLOXACINO
A1.BINOTAL SUSP. 250 MG./5 ML. C/90 ML.;LAKESIDE  ;$122.41;$96.38;12045;20;AMPICILINA
ADALAT OROS 30MG TAB C10       ;BAYER FARM;$268.00;$199.25;12053;20;NIFEDIPINO
GLUCOBAY 50MG CPR C30          ;BAYER FARM;$225.00;$167.27;12056;25;ACARBOSA
GLUCOBAY 100MG CPR C30         ;BAYER FARM;$409.00;$304.08;12057;25;ACARBOSA
A1.BINOTAL CAP. 500 MG. C/20;LAKESIDE  ;$172.75;$136.03;12062;20;AMPICILINA
A1.BINOTAL 500MG SUSP 90ML        ;BAYER FARM;$161.00;$134.81;12063;20;AMPICILINA
A1.CIPROXINA 3D 250MG CPR C6      ;BAYER     ;$131.00;$104.15;12071;20;CIPROFLOXACINO
ASPIRINA PROTECT 100MG CPR C28;BAYER FARM;$80.00;$59.48;12080;30;ACIDO ACETILSALICILICO
A1.AMOBAY 250MG SUSP 75ML         ;BAYER FARM;$126.00;$93.68;12088;20;AMOXICILINA
A1.AMOBAY 500MG SUSP 75ML         ;BAYER FARM;$138.00;$102.60;12089;20;AMOXICILINA
A1.AMOBAY 500MG CAP C15           ;BAYER FARM;$133.00;$98.89;12090;20;AMOXICILINA
VAR.P JGA PLASTIPAK 3ML NGA 22GX322MM;BECTON DICKINSON MEXICO, ;$2.50;$1.29;12101;0;NO ESPECIFICADO
TERMOMETRO BD DIGITAL RIGIDO   ;BECTON DICKINSON MEXICO, ;$104.50;$102.23;12119;0;NO ESPECIFICADO
TELA ADH SEDASIVA CRTE 1.25X1M;BDF MEXICO;$12.00;$8.63;12136;0;NO ESPECIFICADO
TELA ADH SEDASIVA CRTE 1.25X5M;BDF MEXICO;$29.00;$21.50;12137;0;NO ESPECIFICADO
SEDASIVA CINT N4 2.5X5M        ;BDF MEXICO;$43.00;$32.17;12138;0;NO ESPECIFICADO
PDA. LABELLO P/LAB CEREZA 4.7G;BDF MEXICO;$33.50;$23.74;12149;0;NO ESPECIFICADO
PDA. LABELLO P/LAB CLASICO 4.7G;BDF MEXICO;$33.50;$23.74;12172;0;NO ESPECIFICADO
PDA. LABELLO P/LAB ROSE 4.7G   ;BDF MEXICO;$31.50;$21.98;12173;0;NO ESPECIFICADO
CRA. NIVEA BODY MILK UV 250ML     ;BDF MEXICO;$44.00;$33.50;12175;0;NO ESPECIFICADO
CRA. NIVEA BODY MILK UV 400ML    ;BDF MEXICO;$65.00;$49.14;12189;0;NO ESPECIFICADO
TELA ADH SEDASIVA CRTE 2.5X1M ;BDF MEXICO;$14.00;$10.24;12194;0;NO ESPECIFICADO
PDA. LABELLO P/LAB SOLAR 4.7G  ;BDF MEXICO;$33.50;$23.74;12214;0;NO ESPECIFICADO
DES.1H NIVEA R-ON DRY 50ML;B.D.F. MEXICO, S.A. DE C.;$30.00;$19.60;12225;0;NO ESPECIFICADO
DES.W NIVEA R-ON DRY 50ML;B.D.F. MEXICO, S.A. DE C.;$28.00;$19.60;12226;0;NO ESPECIFICADO
PDA LABELLO HIDROCARE 4.0G   ;BDF MEXICO;$33.50;$23.74;12242;0;NO ESPECIFICADO
PARCHE GALLO SOB C100          ;BDF MEXICO;$299.00;$219.96;12254;0;NO ESPECIFICADO
A1.PENTREXYL 1G TAB C10           ;BRISTOL   ;$172.70;$141.61;12421;30;NO ESPECIFICADO
A1.PENTREXYL 125MG INY C3         ;BRISTOL   ;$125.55;$102.95;12422;30;NO ESPECIFICADO
A1.DURACEF 250MG CAP C20          ;BRISTOL   ;$297.50;$213.18;12429;25;CEFADROXILO
A1.DURACEF 500MG CAP C8           ;BRISTOL   ;$649.55;$532.63;12440;30;CEFADROXILO
A1.MAXTRIM F 800/160MG TAB C14    ;HORMONA   ;$166.00;$137.85;12448;30;TRIMETOPRIMA-SULFAMETOXAZOL
DATRIL 500MG CAP C20           ;BRISTOL   ;$67.25;$50.60;12453;30;NO ESPECIFICADO
MICOSTATIN INF GTS 60ML        ;RECK-BEN  ;$488.00;$400.17;12480;25;NISTATINA
MICOSTATIN PVO SUSP 30DOSIS    ;RECK-BEN  ;$339.65;$278.51;12481;25;NISTATINA
MICOSTATIN V TAB C28           ;BRISTOL   ;$212.80;$145.20;12483;30;NO ESPECIFICADO
A1.AMIKIN 250MG F A 2ML C2        ;BRISTOL   ;$469.70;$371.06;12501;30;NO ESPECIFICADO
PICOT SAL DE UVAS DISP SOB C50 ;RECK-BEN  ;$142.68;$117.00;12525;20;BICARBONATO DE SODIO-ACIDO TARTARICO-ACIDO CITRICO
TEMPRA CAPLETS 500MG CAP C20   ;RECK-BEN  ;$76.39;$62.64;12533;35;PARACETAMOL
TEMPRA INF JBE 120ML           ;RECK-BEN  ;$115.07;$94.35;12535;35;PARACETAMOL
TEMPRA 160MG UVA TAB MAST C30  ;RECK-BEN  ;$140.64;$115.33;12536;35;PARACETAMOL
TEMPRA 80MG UVA TAB MAST C30   ;RECK-BEN  ;$81.41;$66.75;12537;35;PARACETAMOL
TEMPRA PED GTS 30ML            ;RECK-BEN  ;$107.41;$88.07;12538;35;PARACETAMOL
TEMPRA FORTE 650MG TAB C24     ;RECK-BEN  ;$102.19;$83.80;12539;30;PARACETAMOL
GRANEODIN B 2G FRAMB TAB C24   ;RECK-BEN  ;$61.45;$50.39;12545;30;BENZOCAINA
A1.PENTREXYL 1G INY F A 2ML C1    ;BRISTOL   ;$65.70;$51.90;12549;30;NO ESPECIFICADO
GRANEODIN B 2G MIE LIM TAB C24 ;RECK-BEN  ;$61.45;$50.39;12558;30;BENZOCAINA 
TERAGRAN ADC AD AMP 3ML C1     ;BRISTOL   ;$32.15;$26.36;12563;30;NO ESPECIFICADO
HERBALESSENC GEL 241G          ;BRISTOL MYERS DE MEXICO, ;$31.50;$41.73;12710;0;NO ESPECIFICADO
FIJ.1 MOUSSE HERBAL ESS EXT/CTL 227G;P&GBRISTOL;$43.00;$35.40;12711;0;NO ESPECIFICADO
PODOFILIA N2 5ML               ;BUSTILLOS ;$173.15;$141.98;12954;30;RESINA DE PODOFILINA
CRA. CONCHA NACAR BUS 150 GR   ;BUSTILLOS ;$32.50;$23.85;12957;0;NO ESPECIFICADO
ALBOTHYL OV C6                 ;BYK GULDEN;$222.00;$145.23;12960;30;POLICRESULENO
ALBOTHYL V SOL 200ML           ;BYK GULDEN;$144.00;$94.20;12961;30;POLICRESULENO
LEGALON 70MG GRAG C20          ;TAKEDA    ;$341.00;$223.08;12963;30;SILIMARINA
PROCTOACID SUP C5              ;BYK GULDEN;$155.00;$101.40;12964;30;POLICRESULENO-CINCOCAINA
PASPAT NF INY AMP 2ML C5       ;TAKEDA    ;$655.00;$428.50;12965;30;MEZCLA DE ANTIGENOS BACTERIANOS AUTOLISADOS
OSSOPAN 200MG GRAG C36         ;FABREFARMA;$190.00;$159.85;12967;25;CALCIO-FOSFORO-PROTEINA
FERRANINA JBE 100ML            ;TAKEDA    ;$206.00;$134.77;12971;25;HIERRO POLIMALTOSADO
ALBOTHYL SOL 12ML              ;BYK GULDEN;$183.00;$119.72;12972;30;POLICRESULENO
FENIDANTOIN S 100MG TAB C50    ;ITALMEX   ;$249.00;$204.18;12975;25;FENITOINA SODICA
HEMAMINA ORAL AMP 10ML C10     ;ITALMEX   ;$272.60;$165.73;12976;20;AGUA-AZUCAR-EXTACTO DE HIGADO-SORBITOL-CARAMELO CLASE IV�P'
VASODIL 40MG GTS 25ML          ;TAKEDA    ;$352.00;$230.28;12983;0;GINKGO BILOBA
VASODIL 40MG CPR C24           ;TAKEDA    ;$358.00;$234.20;12984;25;GINKGO BILOBA
AGIOLAX GRAN SOB 5G C20        ;TAKEDA    ;$243.00;$158.97;12985;30;PLANTAGO OVATA-SENOSIDOS A Y B
NENE DENT SOL 20ML             ;TAKEDA    ;$127.00;$83.08;12986;25;LIDOCAINA-POLIDOCANOL
FERRANINA FOL 368MG GRAG C30   ;TAKEDA    ;$369.00;$241.40;12988;25;HIERRO-ACIDO FOLICO
FERRANINA GTS 20ML             ;TAKEDA    ;$191.00;$124.95;12989;25;HIERRO POLIMALTOSADO
MILUPA HN25 GRANULADO 225G           ;NYCOMED P ;$244.00;$187.22;12991;10;NO ESPECIFICADO
RIOPAN 8G GEL 250ML            ;TAKEDA    ;$220.00;$143.92;12992;25;MAGALDRATO-DIMETICONA
RIOPAN 8G GEL 10ML SOB C20     ;TAKEDA    ;$189.00;$123.64;12993;25;MAGALDRATO-DIMETICONA
RIOPAN TAB MAST C24            ;TAKEDA    ;$177.00;$115.79;12994;25;MAGALDRATO-DIMETICONA
PROCTOACID PDA 50G APLIC C16   ;BYK GULDEN;$203.00;$132.80;12995;30;POLICRESULENO-CINCOCAINA
MOBILAT CRA 50G                ;CONCORDIA ;$260.00;$179.52;12996;25;ESTER POLISULFURICO MUCOPOLISACARIDACIDO SALICILICO
FERRANINA IM 100MG AMP 2ML C3  ;TAKEDA    ;$295.00;$192.99;12997;25;HIERRO POLIMALTOSADO
PANTOZOL 40MG GRAG C7          ;TAKEDA    ;$394.00;$257.75;13003;30;PANTOPRAZOL
RIOPAN 8G GEL 10ML SOB C10     ;TAKEDA    ;$103.00;$67.38;13011;25;MAGALDRATO-DIMETICONA
PANTOZOL P20 20MG GRAG C7      ;TAKEDA    ;$237.00;$155.05;13014;30;PANTOPRAZOL
MICOTEX CRA 110G               ;NYCOMED P ;$145.00;$111.85;13015;30;NO ESPECIFICADO
